id,tnea_code,sl_no,department_code,department_name,approved_intake,year_of_starting,nba_accredited,accreditation_valid_upto,approval_marker
1,1,1,BY,BIO MEDICAL ENGINEERING (SS),70,2008,Yes,2031,
2,1,2,CE,CIVIL ENGINEERING,70,1859,Yes,2028,
3,1,3,CS,COMPUTER SCIENCE AND ENGINEERING,70,1982,Yes,2029,
4,1,4,CM,COMPUTER SCIENCE AND ENGINEERING (SS),140,2006,Yes,2029,
5,1,5,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,70,1946,Yes,2029,
6,1,6,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),70,2006,Yes,2029,
7,1,7,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,70,1930,Yes,2028,
8,1,8,GI,GEO INFORMATICS,70,1993,Yes,2028,
9,1,9,IE,INDUSTRIAL ENGINEERING,70,1981,Yes,2028,
10,1,10,IM,INFORMATION TECHNOLOGY (SS),140,2006,Yes,2026,
11,1,11,MA,MATERIAL SCIENCE AND ENGINEERING (SS),35,2006,Yes,2031,
12,1,12,MI,MINING ENGINEERING,35,1987,No,,
13,1,13,MN,MANUFACTURING ENGINEERING,70,1980,Yes,2028,
14,1,14,ME,MECHANICAL ENGINEERING,140,1895,Yes,2029,
15,1,15,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),35,2010,Yes,2029,
16,1,16,XC,CIVIL ENGINEERING (TAMIL MEDIUM),35,2010,Yes,2028,
17,1,17,PT,PRINTING & PACKING TECHNOLOGY,70,1983,No,,
18,1,18,EL,Electronics Engineering (VLSI Design and Technology) (SS),70,2024,No,,
19,2,1,AP,APPAREL TECHNOLOGY (SS),35,2007,No,,
20,2,2,CH,CHEMICAL ENGINEERING,70,1944,No,,
21,2,3,CL,CHEMICAL ENGINEERING (SS),70,2012,No,,
22,2,4,CR,CERAMIC TECHNOLOGY (SS),60,1996,No,,
23,2,5,FS,FOOD TECHNOLOGY (SS),45,2004,No,,
24,2,6,IB,INDUSTRIAL BIO TECHNOLOGY,40,1992,No,,
25,2,7,IS,INDUSTRIAL BIO TECHNOLOGY (SS),30,2004,No,,
26,2,8,LE,LEATHER TECHNOLOGY,60,1945,No,,
27,2,9,PP,PETROLEUM ENGINEERING AND TECHNOLOGY (SS),60,2013,No,,
28,2,10,TX,TEXTILE TECHNOLOGY,60,1945,No,,
29,2,11,PM,PHARMACEUTICAL TECHNOLOGY (SS),60,2004,No,,
30,3,1,BP,B.Plan,40,2022,No,,
31,3,2,AR,Architecture,40,1957,No,,
32,3,3,BA,ARCHITECTURE,40,2010,No,,
33,4,1,AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),70,2022,No,,
34,4,2,AE,AERONAUTICAL ENGINEERING,70,1949,No,,
35,4,3,AU,AUTOMOBILE ENGINEERING,70,1949,No,,
36,4,4,CS,COMPUTER SCIENCE AND ENGINEERING,70,2001,Yes,2026,
37,4,5,CM,COMPUTER SCIENCE AND ENGINEERING (SS),70,2008,Yes,2026,
38,4,6,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,70,1949,Yes,2029,
39,4,7,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),70,2002,Yes,2029,
40,4,8,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,70,1949,Yes,2028,
41,4,9,IM,INFORMATION TECHNOLOGY (SS),140,2002,Yes,2026,
42,4,10,PR,PRODUCTION ENGINEERING,70,1977,Yes,2026,
43,4,11,RA,ROBOTICS AND AUTOMATION (SS),35,2022,No,,
44,4,12,RP,RUBBER AND PLASTIC TECHNOLOGY,70,1988,Yes,2029,
45,5,1,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),60,2019,No,,
46,5,2,CS,COMPUTER SCIENCE AND ENGINEERING,120,1988,Yes,2028,
47,5,3,CE,CIVIL ENGINEERING,60,1945,No,,
48,5,4,CZ,CIVIL AND STRUCTURAL ENGINEERING,60,1977,No,,
49,5,5,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2002,No,,
50,5,6,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,120,1945,Yes,2028,
51,5,7,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,60,1977,No,,
52,5,8,ME,MECHANICAL ENGINEERING,120,1945,No,,
53,5,9,MM,MECHANICAL ENGINEERING (MANUFACTURING),60,1977,No,,
54,5,10,CH,CHEMICAL ENGINEERING,120,1945,Yes,2028,
55,5,11,IT,INFORMATION TECHNOLOGY,120,1999,No,,
56,5,12,CF,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),60,2019,No,,
57,1013,1,CS,COMPUTER SCIENCE AND ENGINEERING,60,2008,No,,
58,1013,2,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2008,No,,
59,1013,3,IT,INFORMATION TECHNOLOGY,60,2008,No,,
60,1013,4,ME,MECHANICAL ENGINEERING,60,2008,No,,
61,1013,5,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),30,2010,No,,
62,1013,6,SC,Computer Science and Engineering (Cyber Security),60,2025,No,,
63,1013,7,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),60,2026,,,
64,1014,1,CE,CIVIL ENGINEERING,30,2008,No,,
65,1014,2,CS,COMPUTER SCIENCE AND ENGINEERING,60,2008,No,,
66,1014,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2008,No,,
67,1014,4,IT,INFORMATION TECHNOLOGY,60,2008,No,,
68,1014,5,XC,CIVIL ENGINEERING (TAMIL MEDIUM),30,2010,No,,
69,1014,6,EF,Electrical and Computer Engineering,30,2025,No,,
70,1014,7,CA,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE),30,2026,,,
71,1015,1,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2009,No,,
72,1015,2,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2009,No,,
73,1015,3,ME,MECHANICAL ENGINEERING,30,2009,No,,
74,1015,4,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),30,2010,No,,
75,1015,5,CS,COMPUTER SCIENCE AND ENGINEERING,60,2009,No,,
76,1015,6,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),60,2026,,,
77,1026,1,CS,COMPUTER SCIENCE AND ENGINEERING,60,2010,No,,
78,1026,2,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2010,No,,
79,1026,3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2010,No,,
80,1026,4,ME,MECHANICAL ENGINEERING,60,2010,No,,
81,1026,5,SC,Computer Science and Engineering (Cyber Security),60,2026,,,
82,1101,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2022,No,,
83,1101,2,CS,COMPUTER SCIENCE AND ENGINEERING,120,2000,Yes,2027,
84,1101,3,IT,INFORMATION TECHNOLOGY,60,2006,Yes,2027,
85,1101,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2000,No,,
86,1101,5,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,120,2000,Yes,2027,
87,1101,6,ME,MECHANICAL ENGINEERING,60,2007,Yes,2027,
88,1101,7,SC,Computer Science and Engineering (Cyber Security),60,2024,No,,
89,1101,8,CB,COMPUTER SCIENCE AND BUSINESS SYSTEM,30,2024,No,,
90,1101,9,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),30,2024,No,,
91,1101,10,CE,CIVIL ENGINEERING,30,2026,,,**
92,1102,1,CS,COMPUTER SCIENCE AND ENGINEERING,30,2001,No,,
93,1102,2,CE,CIVIL ENGINEERING,30,2014,No,,
94,1102,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,30,2001,No,,
95,1102,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2002,No,,
96,1102,5,ME,MECHANICAL ENGINEERING,30,2011,No,,
97,1102,6,IT,INFORMATION TECHNOLOGY,30,2001,No,,
98,1102,7,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,30,2025,No,,
99,1106,1,AE,AERONAUTICAL ENGINEERING,30,2006,No,,
100,1106,2,CE,CIVIL ENGINEERING,30,2001,No,,
101,1106,3,CS,COMPUTER SCIENCE AND ENGINEERING,120,1995,Yes,2027,
102,1106,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,1998,No,,
103,1106,5,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,90,1995,No,,
104,1106,6,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,30,2002,No,,
105,1106,7,ME,MECHANICAL ENGINEERING,30,2002,No,,
106,1106,8,IT,INFORMATION TECHNOLOGY,120,1998,No,,
107,1106,9,TX,TEXTILE TECHNOLOGY,40,1995,Yes,2027,
108,1106,10,CB,COMPUTER SCIENCE AND BUSINESS SYSTEM,30,2023,No,,
109,1106,11,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),30,2024,No,,
110,1106,12,CO,COMPUTER AND COMMUNICATION ENGINEERING,30,2024,No,,
111,1106,13,RM,ROBOTICS AND AUTOMATION,30,2024,No,,
112,1107,1,CS,COMPUTER SCIENCE AND ENGINEERING,30,2022,No,,
113,1107,2,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,30,2001,No,,
114,1107,3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2002,No,,
115,1107,4,ME,MECHANICAL ENGINEERING,30,2014,No,,
116,1107,5,FD,FOOD TECHNOLOGY,30,2020,No,,
117,1110,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,150,2020,No,,
118,1110,2,BT,BIO TECHNOLOGY,60,2001,Yes,2026,
119,1110,3,CS,COMPUTER SCIENCE AND ENGINEERING,180,2001,Yes,2026,
120,1110,4,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,120,2001,Yes,2026,
121,1110,5,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2001,No,,
122,1110,6,IT,INFORMATION TECHNOLOGY,60,2019,No,,
123,1110,7,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),90,2023,No,,
124,1110,8,SC,Computer Science and Engineering (Cyber Security),60,2023,No,,
125,1110,9,ME,MECHANICAL ENGINEERING,30,2024,No,,
126,1110,10,CB,COMPUTER SCIENCE AND BUSINESS SYSTEM,60,2024,No,,
127,1111,1,CS,COMPUTER SCIENCE AND ENGINEERING,120,2026,,,
128,1111,2,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,120,2026,,,
129,1111,3,IT,INFORMATION TECHNOLOGY,60,2026,,,
130,1111,4,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2026,,,
131,1112,1,CS,COMPUTER SCIENCE AND ENGINEERING,300,2001,Yes,2026,
132,1112,2,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,240,2001,Yes,2026,
133,1112,3,IT,INFORMATION TECHNOLOGY,120,2001,Yes,2026,
134,1112,4,CU,COMPUTER SCIENCE AND ENGINEERING AND BUSINESS SYSTEMS,60,2020,No,,
135,1112,5,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),180,2021,No,,
136,1112,6,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2026,,,
137,1113,1,CE,CIVIL ENGINEERING,60,2005,Yes,2026,
138,1113,2,CS,COMPUTER SCIENCE AND ENGINEERING,300,1997,Yes,2028,
139,1113,3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,1995,Yes,2026,
140,1113,4,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,300,1995,Yes,2028,
141,1113,5,ME,MECHANICAL ENGINEERING,60,1995,Yes,2026,
142,1113,6,IT,INFORMATION TECHNOLOGY,120,1999,Yes,2028,
143,1113,7,CV,COMPUTER SCIENCE AND ENGINEERING (AR/VR AND MEDIA DESIGN),60,2021,No,,
144,1113,8,CA,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE),180,2020,No,,
145,1113,9,CU,COMPUTER SCIENCE AND ENGINEERING AND BUSINESS SYSTEMS,60,2020,No,,
146,1113,10,VL,ELECTRONICS AND COMMUNICATION ENGINEERING (VLSI DESIGN AND TECHNOLOGY),60,2023,No,,
147,1113,11,EG,ELECTRONICS AND COMMUNICATION ENGINEERING (ADVANCED COMMUNICATION TECHNOLOGY),60,2023,No,,
148,1114,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,120,2021,No,,
149,1114,2,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,120,2001,Yes,2027,
150,1114,3,ME,MECHANICAL ENGINEERING,60,1998,Yes,2027,
151,1114,4,CB,COMPUTER SCIENCE AND BUSINESS SYSTEM,60,2021,No,,
152,1114,5,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),60,2022,No,,
153,1114,6,CE,CIVIL ENGINEERING,30,2010,No,,
154,1114,7,SC,Computer Science and Engineering (Cyber Security),60,2023,No,,
155,1114,8,CS,COMPUTER SCIENCE AND ENGINEERING,300,1998,Yes,2028,
156,1114,9,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,180,1998,Yes,2027,
157,1114,10,IT,INFORMATION TECHNOLOGY,120,1998,Yes,2028,
158,1114,11,EV,Electronics Engineering (VLSI Design and Technology),60,2023,No,,
159,1115,1,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,1993,No,,
160,1115,2,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2020,No,,
161,1115,3,CS,COMPUTER SCIENCE AND ENGINEERING,60,1995,No,,
162,1115,4,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,30,1993,No,,
163,1115,5,ME,MECHANICAL ENGINEERING,30,1993,No,,
164,1115,6,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),30,2023,No,,
165,1115,7,CB,COMPUTER SCIENCE AND BUSINESS SYSTEM,30,2023,No,,
166,1115,8,SC,Computer Science and Engineering (Cyber Security),30,2023,No,,
167,1116,1,CE,CIVIL ENGINEERING,30,2003,No,,
168,1116,2,ME,MECHANICAL ENGINEERING,60,2005,No,,
169,1116,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2002,No,,
170,1116,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2000,No,,
171,1116,5,CS,COMPUTER SCIENCE AND ENGINEERING,60,2000,No,,
172,1116,6,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),30,2023,No,,
173,1116,7,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2023,No,,
174,1116,8,IT,INFORMATION TECHNOLOGY,30,2023,No,,
175,1116,9,SC,Computer Science and Engineering (Cyber Security),30,2023,No,,
176,1118,1,BM,BIO MEDICAL ENGINEERING,60,2007,Yes,2026,
177,1118,2,CS,COMPUTER SCIENCE AND ENGINEERING,240,2000,Yes,2028,
178,1118,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,120,2000,Yes,2028,
179,1118,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2001,Yes,2026,
180,1118,5,ME,MECHANICAL ENGINEERING,60,2004,Yes,2026,
181,1118,6,IT,INFORMATION TECHNOLOGY,120,2000,Yes,2026,
182,1118,7,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,120,2020,No,,
183,1118,8,CB,COMPUTER SCIENCE AND BUSINESS SYSTEM,60,2020,No,,
184,1118,9,SC,Computer Science and Engineering (Cyber Security),60,2024,No,,
185,1120,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,180,2020,No,,
186,1120,2,AU,AUTOMOBILE ENGINEERING,30,2012,No,,
187,1120,3,CE,CIVIL ENGINEERING,30,2007,No,,
188,1120,4,CS,COMPUTER SCIENCE AND ENGINEERING,240,1995,Yes,2028,
189,1120,5,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,240,1995,Yes,2028,
190,1120,6,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,1995,Yes,2028,
191,1120,7,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,30,2002,Yes,2028,
192,1120,8,IT,INFORMATION TECHNOLOGY,120,1999,Yes,2028,
193,1120,9,ME,MECHANICAL ENGINEERING,60,1999,Yes,2028,
194,1120,10,SC,Computer Science and Engineering (Cyber Security),120,2023,No,,
195,1121,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,30,2023,No,,
196,1121,2,CS,COMPUTER SCIENCE AND ENGINEERING,60,2002,No,,
197,1121,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2002,No,,
198,1121,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2002,No,,
199,1121,5,ME,MECHANICAL ENGINEERING,60,2009,No,,
200,1122,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,180,2020,No,,
201,1122,2,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),120,2022,No,,
202,1122,3,BT,BIO TECHNOLOGY,60,2006,Yes,2025,
203,1122,4,CH,CHEMICAL ENGINEERING,60,2002,Yes,2025,
204,1122,5,CS,COMPUTER SCIENCE AND ENGINEERING,180,2005,No,,
205,1122,6,CE,CIVIL ENGINEERING,30,2002,No,,
206,1122,7,ME,MECHANICAL ENGINEERING,60,2009,No,,
207,1122,8,IT,INFORMATION TECHNOLOGY,120,2006,Yes,2026,
208,1122,9,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,120,2002,Yes,2026,
209,1123,1,AE,AERONAUTICAL ENGINEERING,30,2007,No,,
210,1123,2,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,30,2023,No,,
211,1123,3,CS,COMPUTER SCIENCE AND ENGINEERING,30,2005,No,,
212,1123,4,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),30,2022,No,,
213,1123,5,SC,Computer Science and Engineering (Cyber Security),30,2022,No,,
214,1123,6,CO,COMPUTER AND COMMUNICATION ENGINEERING,30,2023,No,,
215,1123,7,CB,COMPUTER SCIENCE AND BUSINESS SYSTEM,30,2023,No,,
216,1123,8,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,30,2005,No,,
217,1123,9,IT,INFORMATION TECHNOLOGY,30,2007,No,,
218,1123,10,MU,MECHANICAL AND AUTOMATION ENGINEERING,30,2022,No,,
219,1123,11,MD,MEDICAL ELECTRONICS ENGINEERING,30,2022,No,,
220,1123,12,PH,PHARMACEUTICAL TECHNOLOGY,30,2023,No,,
221,1123,13,BT,BIO TECHNOLOGY,30,2024,No,,
222,1123,14,RM,ROBOTICS AND AUTOMATION,30,2024,No,,
223,1126,1,CS,COMPUTER SCIENCE AND ENGINEERING,300,2008,Yes,2026,
224,1126,2,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,240,2008,Yes,2028,
225,1126,3,SC,Computer Science and Engineering (Cyber Security),120,2022,No,,
226,1126,4,EV,Electronics Engineering (VLSI Design and Technology),60,2023,No,,
227,1126,5,RM,ROBOTICS AND AUTOMATION,60,2020,No,,
228,1126,6,BM,BIO MEDICAL ENGINEERING,30,2020,No,,
229,1126,7,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,300,2020,No,,
230,1126,8,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),60,2026,,,
231,1127,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,120,2023,No,,
232,1127,2,BT,BIO TECHNOLOGY,60,2014,No,,
233,1127,3,CS,COMPUTER SCIENCE AND ENGINEERING,120,2008,No,,
234,1127,4,CH,CHEMICAL ENGINEERING,30,2014,No,,
235,1127,5,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2008,No,,
236,1127,6,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2009,No,,
237,1127,7,IT,INFORMATION TECHNOLOGY,120,2008,No,,
238,1127,8,ME,MECHANICAL ENGINEERING,60,2008,No,,
239,1127,9,AR,Architecture,20,2012,No,,
240,1127,10,CB,COMPUTER SCIENCE AND BUSINESS SYSTEM,60,2025,No,,
241,1128,2,CS,COMPUTER SCIENCE AND ENGINEERING,300,2008,Yes,2028,
242,1128,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,180,2008,Yes,2028,
243,1128,4,SC,Computer Science and Engineering (Cyber Security),60,2022,No,,
244,1128,5,VL,ELECTRONICS AND COMMUNICATION ENGINEERING (VLSI DESIGN AND TECHNOLOGY),60,2024,No,,
245,1133,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2023,No,,
246,1133,2,CE,CIVIL ENGINEERING,30,2012,No,,
247,1133,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2012,No,,
248,1133,4,ME,MECHANICAL ENGINEERING,60,2012,No,,
249,1133,5,CS,COMPUTER SCIENCE AND ENGINEERING,60,2012,No,,
250,1133,6,SC,Computer Science and Engineering (Cyber Security),60,2026,,,
251,1133,7,CB,COMPUTER SCIENCE AND BUSINESS SYSTEM,30,2026,,,
252,1137,1,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2012,No,,
253,1137,2,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2012,No,,
254,1137,3,IT,INFORMATION TECHNOLOGY,60,2023,No,,
255,1137,4,CE,CIVIL ENGINEERING,30,2012,No,,
256,1137,5,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,120,2021,No,,
257,1137,6,CS,COMPUTER SCIENCE AND ENGINEERING,120,2012,No,,
258,1137,7,ME,MECHANICAL ENGINEERING,60,2012,No,,
259,1137,8,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),60,2026,,,
260,1140,1,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,120,2011,Yes,2028,
261,1140,2,ME,MECHANICAL ENGINEERING,30,2011,No,,
262,1140,3,CB,COMPUTER SCIENCE AND BUSINESS SYSTEM,30,2022,No,,
263,1140,4,IT,INFORMATION TECHNOLOGY,240,2011,Yes,2026,
264,1140,5,CS,COMPUTER SCIENCE AND ENGINEERING,360,2011,Yes,2026,
265,1140,6,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,240,2021,No,,
266,1150,1,AG,AGRICULTURAL ENGINEERING,60,2018,No,,
267,1150,2,BM,BIO MEDICAL ENGINEERING,60,2018,No,,
268,1150,3,ME,MECHANICAL ENGINEERING,60,2014,No,,
269,1150,4,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2023,No,,
270,1150,5,CS,COMPUTER SCIENCE AND ENGINEERING,60,2023,No,,
271,1202,1,CE,CIVIL ENGINEERING,30,,,,
272,1202,2,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,120,2021,No,,
273,1202,3,CS,COMPUTER SCIENCE AND ENGINEERING,180,2001,No,,
274,1202,4,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,120,2001,Yes,2028,
275,1202,5,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2002,No,,
276,1202,6,IT,INFORMATION TECHNOLOGY,90,2001,No,,
277,1202,7,ME,MECHANICAL ENGINEERING,60,2009,Yes,2028,
278,1202,8,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),60,2023,No,,
279,1203,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2025,No,,
280,1203,2,CB,COMPUTER SCIENCE AND BUSINESS SYSTEM,60,2025,No,,
281,1203,3,CS,COMPUTER SCIENCE AND ENGINEERING,60,2025,No,,
282,1203,4,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),60,2025,No,,
283,1203,5,SC,Computer Science and Engineering (Cyber Security),60,2025,No,,
284,1203,6,IT,INFORMATION TECHNOLOGY,60,2025,No,,
285,1207,1,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),30,2022,No,,
286,1207,2,BM,BIO MEDICAL ENGINEERING,60,2019,No,,
287,1207,3,CS,COMPUTER SCIENCE AND ENGINEERING,120,2001,No,,
288,1207,4,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,120,2001,No,,
289,1207,5,IT,INFORMATION TECHNOLOGY,120,2006,No,,
290,1207,6,ME,MECHANICAL ENGINEERING,60,2001,No,,
291,1207,7,RM,ROBOTICS AND AUTOMATION,30,2019,No,,
292,1207,8,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,120,2021,No,,
293,1207,9,SC,Computer Science and Engineering (Cyber Security),60,2026,,,
294,1210,1,CS,COMPUTER SCIENCE AND ENGINEERING,960,2000,Yes,2028,
295,1210,2,IT,INFORMATION TECHNOLOGY,540,2000,Yes,2028,
296,1210,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,480,2000,Yes,2028,
297,1210,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,180,2001,Yes,2028,
298,1210,5,ME,MECHANICAL ENGINEERING,90,2002,Yes,2028,
299,1210,6,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,720,2020,Yes,2028,
300,1210,7,AL,Artificial Intelligence and Machine Learning,240,2022,No,,
301,1211,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,420,2022,No,,
302,1211,2,AE,AERONAUTICAL ENGINEERING,60,2004,Yes,2028,
303,1211,3,AL,Artificial Intelligence and Machine Learning,240,2020,No,,
304,1211,4,AU,AUTOMOBILE ENGINEERING,60,2003,Yes,2028,
305,1211,5,BM,BIO MEDICAL ENGINEERING,120,2005,Yes,2028,
306,1211,6,BT,BIO TECHNOLOGY,180,2002,Yes,2028,
307,1211,7,CB,COMPUTER SCIENCE AND BUSINESS SYSTEM,120,2019,Yes,2028,
308,1211,8,CD,COMPUTER SCIENCE AND DESIGN,60,2021,No,,
309,1211,9,CE,CIVIL ENGINEERING,60,2009,Yes,2028,
310,1211,10,CH,CHEMICAL ENGINEERING,60,2016,Yes,2027,
311,1211,11,CS,COMPUTER SCIENCE AND ENGINEERING,1020,1997,Yes,2028,
312,1211,12,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,780,1997,Yes,2028,
313,1211,13,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,120,1998,Yes,2028,
314,1211,14,IT,INFORMATION TECHNOLOGY,300,1999,Yes,2028,
315,1211,15,FD,FOOD TECHNOLOGY,60,2018,Yes,2027,
316,1211,16,ME,MECHANICAL ENGINEERING,120,1997,Yes,2028,
317,1211,17,MZ,Mechatronics Engineering,120,2015,Yes,2028,
318,1211,18,RM,ROBOTICS AND AUTOMATION,60,2020,No,,
319,1211,19,SC,Computer Science and Engineering (Cyber Security),180,2023,No,,
320,1212,1,BM,BIO MEDICAL ENGINEERING,60,2002,No,,
321,1212,2,CS,COMPUTER SCIENCE AND ENGINEERING,60,2001,No,,
322,1212,3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2004,No,,
323,1212,4,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,30,2001,No,,
324,1212,5,PE,PETROLEUM ENGINEERING,30,2004,No,,
325,1212,6,ME,MECHANICAL ENGINEERING,30,2004,No,,
326,1212,7,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2025,No,,
327,1212,8,IT,INFORMATION TECHNOLOGY,60,2026,,,
328,1213,1,BM,BIO MEDICAL ENGINEERING,60,2017,No,,
329,1213,2,CS,COMPUTER SCIENCE AND ENGINEERING,60,2001,No,,
330,1213,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2001,No,,
331,1213,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2005,No,,
332,1213,5,IT,INFORMATION TECHNOLOGY,60,2001,No,,
333,1216,1,CE,CIVIL ENGINEERING,30,2012,No,,
334,1216,2,CS,COMPUTER SCIENCE AND ENGINEERING,600,2001,Yes,2028,
