id,tnea_code,sl_no,department_code,department_name,approved_intake,year_of_starting,nba_accredited,accreditation_valid_upto,approval_marker
2734,4023,7,XC,CIVIL ENGINEERING (TAMIL MEDIUM),30,2010,No,,
2735,4023,8,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),30,2010,No,,
2736,4024,1,CE,CIVIL ENGINEERING,60,2009,No,,
2737,4024,2,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2009,No,,
2738,4024,3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2009,No,,
2739,4024,4,ME,MECHANICAL ENGINEERING,30,2009,No,,
2740,4024,5,XC,CIVIL ENGINEERING (TAMIL MEDIUM),30,2010,No,,
2741,4024,6,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),30,2010,No,,
2742,4024,7,CS,COMPUTER SCIENCE AND ENGINEERING,30,2025,No,,
2743,4669,1,CE,CIVIL ENGINEERING,30,2011,No,,
2744,4669,2,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2011,No,,
2745,4669,3,ME,MECHANICAL ENGINEERING,30,2011,No,,
2746,4669,4,CS,COMPUTER SCIENCE AND ENGINEERING,60,2011,No,,
2747,4669,5,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2011,No,,
2748,4669,6,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2024,No,,
2749,4669,7,SC,Computer Science and Engineering (Cyber Security),30,2024,No,,
2750,4669,8,IT,INFORMATION TECHNOLOGY,60,2025,No,,
2751,4670,1,AG,AGRICULTURAL ENGINEERING,60,2021,No,,
2752,4670,2,BM,BIO MEDICAL ENGINEERING,60,2022,No,,
2753,4670,3,CE,CIVIL ENGINEERING,60,2012,Yes,2028,
2754,4670,4,CS,COMPUTER SCIENCE AND ENGINEERING,180,2012,Yes,2028,
2755,4670,5,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,120,2012,Yes,2027,
2756,4670,6,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2012,Yes,2027,
2757,4670,7,ME,MECHANICAL ENGINEERING,120,2012,Yes,2027,
2758,4670,8,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,120,2023,No,,
2759,4670,9,AL,Artificial Intelligence and Machine Learning,120,2024,No,,
2760,4672,1,CE,CIVIL ENGINEERING,60,2014,No,,
2761,4672,2,CS,COMPUTER SCIENCE AND ENGINEERING,120,2012,Yes,2028,
2762,4672,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2012,No,,
2763,4672,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2012,No,,
2764,4672,5,ME,MECHANICAL ENGINEERING,60,2012,Yes,2028,
2765,4672,6,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,120,2023,No,,
2766,4672,7,BM,BIO MEDICAL ENGINEERING,60,2026,,,
2767,4675,1,CE,CIVIL ENGINEERING,30,2011,No,,
2768,4675,2,CS,COMPUTER SCIENCE AND ENGINEERING,60,2011,No,,
2769,4675,3,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2011,No,,
2770,4675,4,ME,MECHANICAL ENGINEERING,60,2011,No,,
2771,4675,5,CB,COMPUTER SCIENCE AND BUSINESS SYSTEM,30,2023,No,,
2772,4675,6,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,30,2024,No,,
2773,4675,7,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2011,No,,
2774,4676,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,60,2023,No,,
2775,4676,2,CS,COMPUTER SCIENCE AND ENGINEERING,120,2011,No,,
2776,4676,3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2011,No,,
2777,4676,4,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2011,No,,
2778,4676,5,ME,MECHANICAL ENGINEERING,60,2011,No,,
2779,4676,6,IT,INFORMATION TECHNOLOGY,60,2026,,,
2780,4676,7,CB,COMPUTER SCIENCE AND BUSINESS SYSTEM,60,2026,,,
2781,4677,1,CS,COMPUTER SCIENCE AND ENGINEERING,180,2013,No,,
2782,4677,2,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,60,2013,No,,
2783,4677,3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2013,No,,
2784,4677,4,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,180,2024,No,,
2785,4677,5,IT,INFORMATION TECHNOLOGY,60,2024,No,,
2786,4677,6,ME,MECHANICAL ENGINEERING,60,2026,,,
2787,4678,1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,120,2021,No,,
2788,4678,2,CE,CIVIL ENGINEERING,30,2013,Yes,2028,
2789,4678,3,CS,COMPUTER SCIENCE AND ENGINEERING,180,2013,Yes,2027,
2790,4678,4,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2013,Yes,2027,
2791,4678,5,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,120,2013,Yes,2027,
2792,4678,6,ME,MECHANICAL ENGINEERING,30,2013,Yes,2027,
2793,4678,7,CB,COMPUTER SCIENCE AND BUSINESS SYSTEM,60,2022,No,,
2794,4678,8,IT,INFORMATION TECHNOLOGY,60,2022,No,,
2795,4678,9,AM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),60,2025,No,,
2796,4678,10,SC,Computer Science and Engineering (Cyber Security),60,2026,,,
2797,4680,1,CE,CIVIL ENGINEERING,60,2013,Yes,2027,
2798,4680,2,CS,COMPUTER SCIENCE AND ENGINEERING,180,2013,Yes,2026,
2799,4680,3,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,60,2013,Yes,2026,
2800,4680,4,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,120,2013,Yes,2026,
