sl_no,tnea_code,college_name,district,total_appeared,total_passed,pass_percentage,pdf_page,sem1_appeared,sem1_passed,sem3_appeared,sem3_passed,sem5_appeared,sem5_passed,sem7_appeared,sem7_passed,sem9_appeared,sem9_passed
106,3019,"UNIVERSITY COLLEGE OF ENGINEERING, PANRUTI",CUDDALORE,945,402,42.54,9,249.0,57.0,242.0,71.0,234.0,106.0,220.0,168.0,,
107,2642,P.S.V.COLLEGE OF ENGINEERING AND TECHNOLOGY,KRISHNAGIRI,2060,875,42.48,9,740.0,168.0,571.0,192.0,415.0,262.0,334.0,253.0,,
108,4984,MARTHANDAM COLLEGE OF ENGINEERING AND TECHNOLOGY,KANYAKUMARI,459,194,42.27,9,119.0,21.0,102.0,33.0,127.0,68.0,111.0,72.0,,
109,4941,UNNAMALAI INSTITUTE OF TECHNOLOGY,TUTICORIN,546,229,41.94,9,196.0,44.0,106.0,41.0,123.0,67.0,121.0,77.0,,
110,5022,"UNIVERSITY COLLEGE OF ENGINEERING, DINDIGUL",DINDIGUL,725,304,41.93,9,222.0,53.0,187.0,65.0,162.0,83.0,154.0,103.0,,
111,1421,V.R.S. COLLEGE OF ENGINEERING AND TECHNOLOGY,VILLUPURAM,1261,523,41.48,9,417.0,77.0,327.0,137.0,269.0,156.0,248.0,153.0,,
112,3018,"UNIVERSITY COLLEGE OF ENGINEERING, THIRUKKUVALAI",NAGAPATTINAM,673,279,41.46,9,266.0,78.0,170.0,65.0,120.0,51.0,117.0,85.0,,
113,1115,SRIRAM ENGINEERING COLLEGE,THIRUVALLUR,500,207,41.4,9,167.0,31.0,108.0,38.0,128.0,71.0,97.0,67.0,,
114,2659,SALEM COLLEGE OF ENGINEERING AND TECHNOLOGY,SALEM,1293,533,41.22,9,300.0,41.0,316.0,85.0,348.0,170.0,329.0,237.0,,
115,2633,VIDYAA VIKAS COLLEGE OF ENGINEERING AND TECHNOLOGY,NAMAKKAL,461,190,41.21,9,97.0,13.0,167.0,45.0,81.0,45.0,116.0,87.0,,
116,1101,AALIM MUHAMMED SALEGH COLLEGE OF ENGINEERING,THIRUVALLUR,1465,599,40.89,9,473.0,117.0,371.0,131.0,322.0,163.0,299.0,188.0,,
117,4994,J P COLLEGE OF ENGINEERING,TENKASI,1288,524,40.68,9,422.0,57.0,345.0,109.0,296.0,184.0,225.0,174.0,,
118,3829,M.A.M. COLLEGE OF ENGINEERING AND TECHNOLOGY,TIRUCHIRAPPALLI,1431,580,40.53,9,357.0,49.0,353.0,108.0,351.0,187.0,370.0,236.0,,
119,2683,SHREENIVASA ENGINEERING COLLEGE,DHARMAPURI,1031,417,40.45,9,304.0,37.0,259.0,75.0,280.0,170.0,188.0,135.0,,
120,2713,M.P. NACHIMUTHU M. JAGANATHAN ENGINEERING COLLEGE,ERODE,854,341,39.93,9,282.0,42.0,195.0,61.0,184.0,90.0,193.0,148.0,,
121,2650,CHRIST THE KING ENGINEERING COLLEGE,COIMBATORE,1106,441,39.87,10,436.0,44.0,199.0,77.0,235.0,133.0,236.0,187.0,,
122,1319,THANGAVELU ENGINEERING COLLEGE,CHENGALPATTU,459,183,39.87,10,129.0,21.0,84.0,34.0,135.0,55.0,111.0,73.0,,
123,1416,JAYA SAKTHI ENGINEERING COLLEGE,THIRUVALLUR,534,212,39.7,10,137.0,18.0,145.0,52.0,145.0,84.0,107.0,58.0,,
124,3926,CHENDHURAN COLLEGE OF ENGINEERING AND TECHNOLOGY,PUDUKKOTTAI,857,340,39.67,10,249.0,17.0,211.0,72.0,229.0,114.0,168.0,137.0,,
125,2612,P G P COLLEGE OF ENGINEERING AND TECHNOLOGY,NAMAKKAL,880,348,39.55,10,364.0,29.0,220.0,96.0,164.0,114.0,132.0,109.0,,
126,2721,TAMILNADU COLLEGE OF ENGINEERING,COIMBATORE,720,283,39.31,10,238.0,39.0,147.0,48.0,155.0,74.0,180.0,122.0,,
127,5017,"UNIVERSITY COLLEGE OF ENGINEERING, RAMANATHAPURAM",RAMANATHAPURAM,505,198,39.21,10,187.0,47.0,145.0,51.0,103.0,48.0,70.0,52.0,,
128,1512,S.K.P. ENGINEERING COLLEGE,THIRUVANNAMALAI,1594,624,39.15,10,570.0,61.0,452.0,181.0,388.0,235.0,184.0,147.0,,
129,5919,ST.MICHAEL COLLEGE OF ENGINEERING & TECHNOLOGY,SIVAGANGAI,693,270,38.96,10,229.0,29.0,138.0,48.0,152.0,81.0,174.0,112.0,,
130,2367,ARJUN COLLEGE OF TECHNOLOGY,COIMBATORE,948,368,38.82,10,506.0,110.0,171.0,58.0,172.0,115.0,99.0,85.0,,
131,2753,PPG INSTITUTE OF TECHNOLOGY,COIMBATORE,1246,483,38.76,10,430.0,60.0,335.0,135.0,252.0,131.0,229.0,157.0,,
132,5935,FATIMA MICHAEL COLLEGE OF ENGINEERING AND TECHNOLOGY,MADURAI,704,272,38.64,10,278.0,58.0,143.0,31.0,162.0,102.0,121.0,81.0,,
133,4975,DR.G.U.POPE COLLEGE OF ENGINEERING,TUTICORIN,645,249,38.6,10,196.0,23.0,166.0,55.0,125.0,59.0,158.0,112.0,,
134,4938,SIVAJI COLLEGE OF ENGINEERING AND TECHNOLOGY,KANYAKUMARI,304,117,38.49,10,66.0,15.0,107.0,28.0,68.0,32.0,63.0,42.0,,
135,1123,GOJAN SCHOOL OF BUSINESS AND TECHNOLOGY,THIRUVALLUR,1301,500,38.43,10,420.0,69.0,337.0,99.0,281.0,155.0,263.0,177.0,,
136,4686,GOOD SHEPHERD COLLEGE OF ENGINEERING & TECHNOLOGY,KANYAKUMARI,326,124,38.04,11,51.0,17.0,100.0,37.0,78.0,33.0,97.0,37.0,,
137,2646,TAGORE INSTITUTE OF ENGINEERING AND TECHNOLOGY,SALEM,1244,469,37.7,11,461.0,60.0,283.0,75.0,225.0,130.0,275.0,204.0,,
138,4999,ANNAI VAILANKANNI COLLEGE OF ENGINEERING,KANYAKUMARI,767,289,37.68,11,240.0,42.0,195.0,62.0,189.0,91.0,143.0,94.0,,
